_id,STT,Ma,Ten CCN,Trang thai hoat dong,Chu dau tu,Nguoi lien he,Tong muc dau tu DN thu cap,Tong muc dau tu,Vi tri dia ly,Huyen/thi xa/thanh pho,Phuong/xa/thi tran,Ket noi giao thong,Nam thanh lap,So QD thanh lap/CS phap ly,Tong dien tich dat trong CCN,Dien tich dat cong nghiep,Dien tich dat da cho thue,Dien tich dat da cho thue khao sat,So doanh nghiep/du an da thue dat trong CCN,So DN co von dau tu nuoc ngoai,So DN co von dau tu trong nuoc,Gia cho thue dat,Tong so lao dong thuong xuyen dang lam viec,Cong suat nha may xu ly nuoc thai,So luong Tram y te luu dong,Hinh thuc nop ngan sach,So tien nop NSNN,Thu nhap binh quan nguoi lao dong trong Cum,Doanh thu,Id quan ly bien dong theo thoi gian,Ti le lap day,So DN dang hoat dong,So DN dang xay dung,So DN chua hoat dong,So DN dang thuc hien chu truong dau tu,Toa do khong gian,Dia chi,Dien thoai lien he,So dien thoai lien he khac,Dia chi Email lien he,Ghi chu,Ten trang thai,Thoi diem trang thai,Thoi diem tao,Thoi diem cap nhat
1,1,INDUCLUS00001665,Cụm công nghiệp Xây Đá B Mới,,Công ty Cổ phần Quản lý và Xây dựng Cầu đường Nam Định,,,,,,,,,,,,50,,,,,,,,,,,,,8a9e4ef6-572c-4700-be1b-adcb1a0b1d89,,,,,,"546718.5633488024,1071494.4650235826;545530.343738245,1070621.1951893177;546050.4880657581,1069914.9441758136;547773.167902751,1071146.111483138;547548.8854863003,1071279.726539747;547238.7076763156,1071494.4650235826;546837.8625064889,1071403.797663741;546718.5633488024,1071494.4650235826","Ấp Xây Đá B, xã Hồ Đắc Kiện, huyện Châu Thành",,,,,,2024-08-28 05:30:13,2024-06-05 09:17:13,2024-08-28 05:30:13
2,2,INDUCLUS00001669,Cụm công nghiệp Thuận Hòa,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,"544686.0602644264,1074425.1081849774;544561.9891404324,1073527.9785191752;545506.8384693095,1073232.1166081126;545793.156447757,1073451.6270582557;545697.7171216079,1074377.388521903;545163.2568951724,1074950.024478798;544686.0602644264,1074425.1081849774","Xã Thuận Hòa, chuyện Châu Thành",,,,,,2024-06-05 09:17:13,2024-06-05 09:17:13,2024-06-05 09:17:13
3,3,INDUCLUS00001664,Cụm công nghiệp Xây Đá B,,Công ty TNHH DinTsun Việt Nam,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,"544919.4964936324,1070344.5316141099;545038.795651319,1069738.4918930624;545673.4671702111,1069709.8600952176;545468.2726189903,1070325.44374888;544919.4964936324,1070344.5316141099","Ấp Xây Đá B, xã Hồ Đắc Kiện, huyện Châu Thành",,,,,,2024-06-05 09:17:12,2024-06-05 09:17:12,2024-06-05 09:17:12
