_id,STT,Ten nha may nuoc,Vi tri,Nam xay dung,"Dien tich 
(m2)","Cong suat 
(m3/ngay dem)",Vung phuc vu,So ho cung cap nuoc sach,Trinh trang hoat dong
151,151, Đông Phương,"Xã Đông Phương, huyện Kiến Thuỵ",2008,3000,,,,Dừng hoạt động
152,152,Thuận Thiên,"Xã Thuận Thiên, huyện Kiến Thuỵ","2003, 2006, 2012",1000,,,,Dừng hoạt động
153,153,Hữu Bằng I,"Thôn Kim Đới 3, xã Hữu Bằng, huyện Kiến Thuỵ",2004,,,,,Dừng hoạt động
154,154,Hữu Bằng II,"Thôn Văn Cao, xã Hữu Bằng, huyện Kiến Thuỵ",2006,,,,,Dừng hoạt động
155,155,Ngũ Phúc,"Thôn Xuân Chiếng, xã Ngũ Phúc, huyện Kiến Thuỵ","2005, 2009, 2013",1800,,,,Dừng hoạt động
156,156, Du Lễ,"Xã Du Lễ, huyện Kiến Thuỵ","2008, 2010",1200,,,,Dừng hoạt động
157,157, Đại Hà,"Thôn Cao Bộ, xã Đại Hà, huyện Kiến Thuỵ","2011, 2013",1450,,,,Dừng hoạt động
158,158,Ngũ Đoan I,"Thôn Đồng Dồi, xã Ngũ Đoan, huyện Kiến Thuỵ",2004,400,,,,Dừng hoạt động
159,159,Tân Phong,"Thôn Lão Phong, xã Tân Phong, huyện Kiến Thuỵ","2007, 2010",606,,,,Dừng hoạt động
160,160, Tân Phong III,"Thôn Kính trực, xã Tân Phong, huyện Kiến Thuỵ",2013,720,,,,Dừng hoạt động
161,161,Tú Sơn,"Thôn Lê Xá, xã Tú Sơn, huyện Kiến Thuỵ","2005, 2010, 2011",,,,,Dừng hoạt động
162,162,Bắc Sơn,"Thôn 6, xã Bắc Sơn, huyện An Dương",2004,,,,,Dừng hoạt động
163,163,Quốc Tuấn I,"Thôn Kiều Thượng, Quốc Tuấn, huyện An Dương",2006,1000,,,,Dừng hoạt động
164,164,Quốc Tuấn II+III,"Thôn Kiều Thượng, Quốc Tuấn, huyện An Dương",20082012,2500,,,,Dừng hoạt động
165,165,Đặng Cương I,"Thôn Hoà Nhất, Xã Đặng Cương, huyện An Dương",2005,500,,,,Dừng hoạt động
166,166,Đặng Cương II,"Thôn Chiến Thắng, Đặng Cương, huyện An Dương","2007, 2011",1200,,,,Dừng hoạt động
167,167,Hồng Thái,"Thôn Đào Yêu, xã Hồng Thái, huyện An Dương",2005,,,,,Dừng hoạt động
168,168,Xuân Đám,"Xã Xuân Đám, huyện Cát Hải",2005,500,,,,Dừng hoạt động
169,169,Phù Long,"Xã Phù Long, huyện Cát Hải",2006,700,,,,Dừng hoạt động
